expanded_id,batch_id,run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,documentary_signal,actionable_signal,expanded_possible_score,queue_reason,screening_decision
X051,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W4410431873,https://doi.org/10.1073/pnas.2415898122,The benefits and dangers of anthropomorphic conversational agents,2025,Sandra Peter; Kai Riemer; Jevin D. West,article,"A growing body of research suggests that the recent generation of large language model (LLMs) excel, and in many cases outpace humans, at writing persuasively and empathetically, at inferring user traits from text, and at mimicking human-like conversation believably and effectively-without possessing any true empathy or social understanding. We refer to these systems as ""anthropomorphic conversational agents"" to aptly conceptualize the ability of LLM-based systems to mimic human communication so convincingly that they become increasingly indistinguishable from human interlocutors. This ability challenges the many efforts that caution against ""anthropomorphizing"" LLMs, attaching human-like qualities to nonhuman entities. When the systems themselves exhibit human-like qualities, calls to resist anthropomorphism will increasingly fall flat. While the AI industry directs much effort into improving the reasoning abilities of LLMs-with mixed results-the progress in communicative abilities remains underappreciated. In this perspective, we aim to raise awareness for both the benefits and dangers of anthropomorphic agents. We ask: should we lean into the human-like abilities, or should we aim to dehumanize LLM-based systems, given concerns over anthropomorphic seduction? When users cannot tell the difference between human interlocutors and AI systems, threats emerge of deception, manipulation, and disinformation at scale. We suggest that we must engage with anthropomorphic agents across design and development, deployment and use, and regulation and policy-making. We outline in detail implications and associated research questions.",https://doi.org/10.1073/pnas.2415898122,https://www.pnas.org/doi/pdf/10.1073/pnas.2415898122,cc-by-nc-nd,hybrid,3,4,sistema=2;produto-design=1,screening-required,Automação não substitui leitura ontológica.,2,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X052,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W2913681502,https://doi.org/10.48550/arxiv.1901.06525,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,2019,Leigh Clark; Nadia Pantidi; Orla Cooney; Philip R. Doyle; Diego Garaialde; Justin Edwards; Brendan Spillane; Christine Murad; Cosmin Munteanu; Vincent Wade; Benjamin R. Cowan,other,"Conversational agents promise conversational interaction but fail to deliver. Efforts often emulate functional rules from human speech, without considering key characteristics that conversation must encapsulate. Given its potential in supporting long-term human-agent relationships, it is paramount that HCI focuses efforts on delivering this promise. We aim to understand what people value in conversation and how this should manifest in agents. Findings from a series of semi-structured interviews show people make a clear dichotomy between social and functional roles of conversation, emphasising the long-term dynamics of bond and trust along with the importance of context and relationship stage in the types of conversations they have. People fundamentally questioned the need for bond and common ground in agent communication, shifting to more utilitarian definitions of conversational qualities. Drawing on these findings we discuss key challenges for conversational agent design, most notably the need to redefine the design parameters for conversational agent interaction.",http://hdl.handle.net/10197/10307,http://hdl.handle.net/10197/10307,,green,3,6,sistema=2;produto-design=3,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X053,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W2996664720,https://doi.org/10.2196/15823,Responses of Conversational Agents to Health and Lifestyle Prompts: Investigation of Appropriateness and Presentation Structures,2019,A. Baki Kocaballı; Juan C. Quiroz; Dana Rezazadegan; Shlomo Berkovsky; Farah Magrabi; Enrico Coiera; Liliana Laranjo,article,"BACKGROUND: Conversational agents (CAs) are systems that mimic human conversations using text or spoken language. Their widely used examples include voice-activated systems such as Apple Siri, Google Assistant, Amazon Alexa, and Microsoft Cortana. The use of CAs in health care has been on the rise, but concerns about their potential safety risks often remain understudied. OBJECTIVE: This study aimed to analyze how commonly available, general-purpose CAs on smartphones and smart speakers respond to health and lifestyle prompts (questions and open-ended statements) by examining their responses in terms of content and structure alike. METHODS: We followed a piloted script to present health- and lifestyle-related prompts to 8 CAs. The CAs' responses were assessed for their appropriateness on the basis of the prompt type: responses to safety-critical prompts were deemed appropriate if they included a referral to a health professional or service, whereas responses to lifestyle prompts were deemed appropriate if they provided relevant information to address the problem prompted. The response structure was also examined according to information sources (Web search-based or precoded), response content style (informative and/or directive), confirmation of prompt recognition, and empathy. RESULTS: The 8 studied CAs provided in total 240 responses to 30 prompts. They collectively responded appropriately to 41% (46/112) of the safety-critical and 39% (37/96) of the lifestyle prompts. The ratio of appropriate responses deteriorated when safety-critical prompts were rephrased or when the agent used a voice-only interface. The appropriate responses included mostly directive content and empathy statements for the safety-critical prompts and a mix of informative and directive content for the lifestyle prompts. CONCLUSIONS: Our results suggest that the commonly available, general-purpose CAs on smartphones and smart speakers with unconstrained natural language interfaces are limited in their ability to advise on both the safety-critical health prompts and lifestyle prompts. Our study also identified some response structures the CAs employed to present their appropriate responses. Further investigation is needed to establish guidelines for designing suitable response structures for different prompt types.",https://doi.org/10.2196/15823,https://www.jmir.org/2020/2/e15823/PDF,cc-by,gold,3,6,sistema=2;produto-design=3,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X054,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W3174098556,https://doi.org/10.1145/3461778.3462143,“I wrote as if I were telling a story to someone I knew.”: Designing Chatbot Interactions for Expressive Writing in Mental Health,2021,Sohyun Park; Anja Thieme; Jeongyun Han; Sung‐Woo Lee; Wonjong Rhee; Bongwon Suh,conference-paper,"Writing about experiences of trauma and other challenges in life is known to provide measurable health benefits. Though writing for an audience may ensure better benefits, confiding one's most troubled memories in others risks a social stigma. Conversational agents can provide a virtual audience that ensures privacy and allows social disclosure. To understand the writing experience with an agent, we created Diarybot, a chatbot assistant for expressive writing. We designed two versions, Basic and Responsive, to explore the writing experience with and without bot follow-up interactions compared to a Google doc baseline. Findings from a 4-day user study with 30 participants reveal that social disclosure with Diarybot can encourage narrative writing, with relative ease and emotional expression in Basic chat. Responsive chat can mediate social acceptance of the bot and provide guidance for self-reflection in the process. We discuss design reflections on social disclosure with agents in pursuit of wellbeing.",https://doi.org/10.1145/3461778.3462143,https://dl.acm.org/doi/pdf/10.1145/3461778.3462143,,gold,3,5,sistema=3;produto-design=2,screening-required,Automação não substitui leitura ontológica.,2,1,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X055,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W4297405114,https://doi.org/10.2196/38525,Design and Evaluation Challenges of Conversational Agents in Health Care and Well-being: Selective Review Study,2022,A. Baki Kocaballı; Emre Sezgın; Leigh Clark; John M. Carroll; Yungui Huang; Jina Huh; Junhan Kim; Rafał Kocielnik; Yi‐Chieh Lee; Lena Mamykina; Elliot G. Mitchell; Robert J. Moore; Prasanth Murali; Elizabeth D. Mynatt; Sun Young Park; Alessandro Pasta; Deborah Richards; Lucas M. Silva; Diva Smriti; Brendan Spillane; Zhan Zhang; Tamara Zubatiy,article,"BACKGROUND: Health care and well-being are 2 main interconnected application areas of conversational agents (CAs). There is a significant increase in research, development, and commercial implementations in this area. In parallel to the increasing interest, new challenges in designing and evaluating CAs have emerged. OBJECTIVE: This study aims to identify key design, development, and evaluation challenges of CAs in health care and well-being research. The focus is on the very recent projects with their emerging challenges. METHODS: A review study was conducted with 17 invited studies, most of which were presented at the ACM (Association for Computing Machinery) CHI 2020 conference workshop on CAs for health and well-being. Eligibility criteria required the studies to involve a CA applied to a health or well-being project (ongoing or recently finished). The participating studies were asked to report on their projects' design and evaluation challenges. We used thematic analysis to review the studies. RESULTS: The findings include a range of topics from primary care to caring for older adults to health coaching. We identified 4 major themes: (1) Domain Information and Integration, (2) User-System Interaction and Partnership, (3) Evaluation, and (4) Conversational Competence. CONCLUSIONS: CAs proved their worth during the pandemic as health screening tools, and are expected to stay to further support various health care domains, especially personal health care. Growth in investment in CAs also shows the value as a personal assistant. Our study shows that while some challenges are shared with other CA application areas, safety and privacy remain the major challenges in the health care and well-being domains. An increased level of collaboration across different institutions and entities may be a promising direction to address some of the major challenges that otherwise would be too complex to be addressed by the projects with their limited scope and budget.",https://doi.org/10.2196/38525,https://www.jmir.org/2022/11/e38525/PDF,cc-by,gold,3,6,sistema=2;produto-design=3,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X056,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W4399248247,https://doi.org/10.1002/itl2.530,"Everything you wanted to know about ChatGPT : Components, capabilities, applications, and opportunities",2024,Arash Heidari; Nima Jafari Navimipour; Sherali Zeadally; Vinay Chamola,article,"Abstract Conversational Artificial Intelligence (AI) and Natural Language Processing have advanced significantly with the creation of a Generative Pre‐trained Transformer (ChatGPT) by OpenAI. ChatGPT uses deep learning techniques like transformer architecture and self‐attention mechanisms to replicate human speech and provide coherent and appropriate replies to the situation. The model mainly depends on the patterns discovered in the training data, which might result in incorrect or illogical conclusions. In the context of open‐domain chats, we investigate the components, capabilities constraints, and potential applications of ChatGPT along with future opportunities. We begin by describing the components of ChatGPT followed by a definition of chatbots. We present a new taxonomy to classify them. Our taxonomy includes rule‐based chatbots, retrieval‐based chatbots, generative chatbots, and hybrid chatbots. Next, we describe the capabilities and constraints of ChatGPT. Finally, we present potential applications of ChatGPT and future research opportunities. The results showed that ChatGPT, a transformer‐based chatbot model, utilizes encoders to produce coherent responses.",https://doi.org/10.1002/itl2.530,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/itl2.530,,bronze,3,4,sistema=2;produto-design=1,screening-required,Automação não substitui leitura ontológica.,2,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X057,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W3195580646,https://doi.org/10.1007/s41233-021-00046-5,Investigating the user experience of customer service chatbot interaction: a framework for qualitative analysis of chatbot dialogues,2021,Asbjørn Følstad; Cameron Taylor,article,"Abstract The uptake of chatbots for customer service depends on the user experience. For such chatbots, user experience in particular concerns whether the user is provided relevant answers to their queries and the chatbot interaction brings them closer to resolving their problem. Dialogue data from interactions between users and chatbots represents a potentially valuable source of insight into user experience. However, there is a need for knowledge of how to make use of these data. Motivated by this, we present a framework for qualitative analysis of chatbot dialogues in the customer service domain. The framework has been developed across several studies involving two chatbots for customer service, in collaboration with the chatbot hosts. We present the framework and illustrate its application with insights from three case examples. Through the case findings, we show how the framework may provide insight into key drivers of user experience, including response relevance and dialogue helpfulness (Case 1), insight to drive chatbot improvement in practice (Case 2), and insight of theoretical and practical relevance for understanding chatbot user types and interaction patterns (Case 3). On the basis of the findings, we discuss the strengths and limitations of the framework, its theoretical and practical implications, and directions for future work.",https://doi.org/10.1007/s41233-021-00046-5,https://link.springer.com/content/pdf/10.1007/s41233-021-00046-5.pdf,cc-by,hybrid,3,6,sistema=2;produto-design=3,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X058,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W4383679928,https://doi.org/10.1145/3563657.3596138,Herding AI Cats: Lessons from Designing a Chatbot by Prompting GPT-3,2023,J.D. Zamfirescu-Pereira; Heather Wei; Amy Xiao; K Gu; Grace Jung; M. Lee; Bjoern Hartmann; Qian Yang,conference-paper,"Prompting Large Language Models (LLMs) is an exciting new approach to designing chatbots. But can it improve LLM’s user experience (UX) reliably enough to power chatbot products? Our attempt to design a robust chatbot by prompting GPT-3/4 alone suggests: not yet. Prompts made achieving “80%” UX goals easy, but not the remaining 20%. Fixing the few remaining interaction breakdowns resembled herding cats: We could not address one UX issue or test one design solution at a time; instead, we had to handle everything everywhere all at once. Moreover, because no prompt could make GPT reliably say “I don’t know” when it should, the user-GPT conversations had no guardrails after a breakdown occurred, often leading to UX downward spirals. These risks incentivized us to design highly prescriptive prompts and scripted bots, counter to the promises of LLM-powered chatbots. This paper describes this case study, unpacks prompting’s fickleness and its impact on UX design processes, and discusses implications for LLM-based design methods and tools.",https://doi.org/10.1145/3563657.3596138,https://dl.acm.org/doi/pdf/10.1145/3563657.3596138,,gold,3,6,sistema=2;produto-design=5,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X059,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W3094211608,https://doi.org/10.1145/3379337.3415820,Multi-Modal Repairs of Conversational Breakdowns in Task-Oriented Dialogs,2020,Toby Jia-Jun Li; Jingya Chen; Haijun Xia; Tom M. Mitchell; Brad A. Myers,conference-paper,"A major problem in task-oriented conversational agents is the lack of support for the repair of conversational breakdowns. Prior studies have shown that current repair strategies for these kinds of errors are often ineffective due to: (1) the lack of transparency about the state of the system's understanding of the user's utterance; and (2) the system's limited capabilities to understand the user's verbal attempts to repair natural language understanding errors. This paper introduces SOVITE, a new multi-modal speech plus direct manipulation interface that helps users discover, identify the causes of, and recover from conversational breakdowns using the resources of existing mobile app GUIs for grounding. SOVITE displays the system's understanding of user intents using GUI screenshots, allows users to refer to third-party apps and their GUI screens in conversations as inputs for intent disambiguation, and enables users to repair breakdowns using direct manipulation on these screenshots. The results from a remote user study with 10 users using SOVITE in 7 scenarios suggested that SOVITE's approach is usable and effective.",https://doi.org/10.1145/3379337.3415820,https://dl.acm.org/doi/pdf/10.1145/3379337.3415820,cc-by,gold,3,5,sistema=2;produto-design=2,screening-required,Automação não substitui leitura ontológica.,2,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X060,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W4225102280,https://doi.org/10.1145/3491102.3501972,How do you Converse with an Analytical Chatbot? Revisiting Gricean Maxims for Designing Analytical Conversational Behavior,2022,Vidya Setlur; Melanie Tory,conference-paper,"Chatbots have garnered interest as conversational interfaces for a variety of tasks. While general design guidelines exist for chatbot interfaces, little work explores analytical chatbots that support conversing with data. We explore Gricean Maxims to help inform the basic design of effective conversational interaction. We also draw inspiration from natural language interfaces for data exploration to support ambiguity and intent handling. We ran Wizard of Oz studies with 30 participants to evaluate user expectations for text and voice chatbot design variants. Results identified preferences for intent interpretation and revealed variations in user expectations based on the interface affordances. We subsequently conducted an exploratory analysis of three analytical chatbot systems (text + chart, voice + chart, voice-only) that implement these preferred design variants. Empirical evidence from a second 30-participant study informs implications specific to data-driven conversation such as interpreting intent, data orientation, and establishing trust through appropriate system responses.",https://doi.org/10.1145/3491102.3501972,https://dl.acm.org/doi/pdf/10.1145/3491102.3501972,cc-by,hybrid,3,6,sistema=4;produto-design=3,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X061,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W3036770237,https://doi.org/10.1080/17483107.2020.1775313,Inside pandora’s box: a systematic review of the assessment of the perceived quality of chatbots for people with disabilities or special needs,2020,Stefano Federici; Maria Laura De Filippis; Maria Laura Mele; Simone Borsci; Marco Bracalenti; Giancarlo Gaudino; Antonello Cocco; Massimo Amendola; Emilio Simonetti,review,"Introduction: People with disabilities or special needs can benefit from AI-based conversational agents (i.e., chatbots) that are used for competence training and well-being management. Assessing the quality of interactions with these chatbots is key to being able to reduce dissatisfaction with them and to understanding their potential long-term benefit. This in turn will help to increase adherence to their use, thereby improving the quality of life of the large population of end-users that they are able to serve.Methods: Following Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) methodology, we systematically reviewed the literature on methods of assessing the perceived quality of interactions with chatbots using the from Scopus and the Web of Science electronic databases. Using the Boolean operators (AND/OR) the keywords chatbot*, conversational agent*, special needs, disability were combined.Results: Revealed that only 15 of 192 papers on this topic included people with disabilities or special needs in their assessments. The results also highlighted the lack of a shared theoretical framework for assessing the perceived quality of interactions with chatbots.Conclusion: Systematic procedures based on reliable and valid methodologies continue to be needed in this field. The current lack of reliable tools and systematic methods to assess chatbots for people with disabilities and special needs is concerning, and ultimately, it may also lead to unreliable systems entering the market with disruptive consequences for people.Implications for rehabilitationChatbots applied in rehabilitation are mainly tested in terms of clinical effectiveness and validity with a minimal focus on measuring the quality of the interactionThe usability and interactive properties of chatbots applied in rehabilitation are not comparable as each tool is measured in different wayThe lack of a common framework to assess chatbots exposes people with disability and special needs to the risk of using unreliable tools",https://research.utwente.nl/en/publications/4fd65ff6-63f4-4621-9479-95143486e1fb,,other-oa,green,3,5,sistema=4;produto-design=2,screening-required,Automação não substitui leitura ontológica.,1,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X062,B02,20260831T003810Z,1.0.0,"""conversational UX""",OpenAlex,https://openalex.org/W3203725514,https://doi.org/10.3390/app11199160,Graph-Based Conversational AI: Towards a Distributed and Collaborative Multi-Chatbot Approach for Museums,2021,Savvas Varitimiadis; Konstantinos Kotis; Dimitra Pittou; Georgios Konstantakis,article,"Nowadays, museums are developing chatbots to assist their visitors and to provide an enhanced visiting experience. Most of these chatbots do not provide a human-like conversation and fail to deliver the complete requested knowledge by the visitors. There are plenty of stand-alone museum chatbots, developed using a chatbot platform, that provide predefined dialog routes. However, as chatbot platforms are evolving and AI technologies mature, new architectural approaches arise. Museums are already designing chatbots that are trained using machine learning techniques or chatbots connected to knowledge graphs, delivering more intelligent chatbots. This paper is surveying a representative set of developed museum chatbots and platforms for implementing them. More importantly, this paper presents the result of a systematic evaluation approach for evaluating both chatbots and platforms. Furthermore, the paper is introducing a novel approach in developing intelligent chatbots for museums. This approach emphasizes graph-based, distributed, and collaborative multi-chatbot conversational AI systems for museums. The paper accentuates the use of knowledge graphs as the key technology for potentially providing unlimited knowledge to chatbot users, satisfying conversational AI’s need for rich machine-understandable content. In addition, the proposed architecture is designed to deliver an efficient deployment solution where knowledge can be distributed (distributed knowledge graphs) and shared among different chatbots that collaborate when is needed.",https://doi.org/10.3390/app11199160,https://www.mdpi.com/2076-3417/11/19/9160/pdf?version=1633766941,cc-by,gold,3,5,sistema=2;produto-design=2,screening-required,Automação não substitui leitura ontológica.,2,1,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X063,B02,20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W4225135514,https://doi.org/10.1145/3491101.3503699,Ethics of Conversational User Interfaces,2022,Minha Lee; Jaisie Sin; Guy Laban; Matthias Kraus; Leigh Clark; Martin Porcheron; Benjamin R. Cowan; Asbjørn Følstad; Cosmin Munteanu; Heloísa Candello,conference-paper,"Building on the prior workshops on conversational user interfaces (CUIs) [2, 40], we tackle the topic of ethics of CUIs at CHI 2022. Though commercial CUI developments continue to rapidly advance, our scholarly dialogue on ethics of CUIs is underwhelming. The CUI community has implicitly been concerned with ethics, yet making it central to the growing body of work thus far has not been adequately done. Since ethics is a far-reaching topic, perspectives from philosophy, design, and engineering domains are integral to our CUI research community. For instance, philosophical traditions, e.g., deontology or virtue ethics, can guide ethical concepts that are relevant for CUIs, e.g., autonomy or trust. The practice of design through approaches like value sensitive design can inform how CUIs should be developed. Ethics comes into play with technical contributions, e.g., privacy-preserving data sharing between conversational systems. By considering such multidisciplinary angles, we come to a special topic of interest that ties together philosophy, design, and engineering: conversational disclosure, e.g., sharing personal information, transparency, e.g., as how to transparently convey relevant information in a conversational manner, and vulnerability of diverse user groups that should be taken into consideration.",https://eprints.gla.ac.uk/view/author/50820.html>,https://eprints.gla.ac.uk/285185/1/285185.pdf,cc-by-sa,green,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,2,0,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X064,B02,20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W4384520715,https://doi.org/10.1145/3571884.3597439,Participatory Design for Whom? Designing Conversational User Interfaces for Sensitive Settings and Vulnerable Populations,2023,Maarten Houben; Nena van As; Nitin Sawhney; David Unbehaun; Minha Lee,conference-paper,"Conversational User Interfaces (CUIs) are becoming increasingly applied in a broad range of sensitive settings to address the needs and struggles of vulnerable or marginalized users. Sensitive settings include, for instance, CUIs mediating the communication difficulties of people with dementia or supporting refugees to cope with new cultural practices as a chatbot on a government website. While researchers are increasingly designing CUIs for such sensitive settings, methods and participatory design approaches to address vulnerable user groups’ highly sensitive needs and struggles are sparse in research thus far. This workshop aims to explore how we can design CUIs for and in sensitive settings with vulnerable users in mind through the participatory design process. We aim to establish a working definition of vulnerability, sensitive settings, and how practice-oriented design of CUIs can be inclusive of diverse users.",https://research.tue.nl/files/303909971/3571884.3597439.pdf,https://pure.tue.nl/ws/files/303909971/3571884.3597439.pdf,other-oa,green,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X065,B02,20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W3183178847,https://doi.org/10.1016/j.csl.2021.101269,Perceptions and reactions to conversational privacy initiated by a conversational user interface,2021,Birgit Brüggemeier; Philip Lalone,article,"In 2019, media reports raised awareness about privacy and security violations in Conversational User Interfaces (CUI) like Alexa, Siri and Google. Users report that they perceive CUI as creepy and that they are concerned about their privacy. The European General Data Protection Regulation (GDPR) and several other laws across the globe, give users the right to control processing of their data, for example by requesting deletion of their data and it gives them the right to obtain information about their data. Furthermore, GDPR and other laws advise for seamless communication of user rights, which, currently, is poorly implemented in CUI. We used a bespoke data collection interface to generate speaking chatbots and made them available as tasks on the crowd sourcing platform Mechanical Turk. With those chatbots we simulated how privacy can be communicated in a dialogue between user and machine. We find that conversational privacy can affect user perceptions of privacy and security positively. Moreover, user choices suggest that users are interested in obtaining information on their privacy and security in dialogue form. We discuss implications and limitations of this research.",https://doi.org/10.1016/j.csl.2021.101269,https://www.sciencedirect.com/science/article/pii/S0885230821000747/pdf,cc-by,hybrid,4,5,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,2,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X066,B02,20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W4312448966,https://doi.org/10.1016/j.procs.2022.09.172,Safety Navigation using a Conversational User Interface For Visually Impaired People,2022,Madalin Matei; Lenuța Alboaie; Adrian Iftene,conference-paper,"Starting with everyday activities such as taking a walk at the outside environments, use of different public transportation methods or even buying different goods, visually impaired people need to put in a considerable effort to complete these so-called trivial tasks for sighted people. Given this, according to WHO (World Health Organization) it is estimated that there are at least 2.2 billion people who have a near or distance vision impairment. This paper presents an ongoing project that aims to address mainly two problems: the creation of a system designed to safely moving visually impaired people to points of interest using public transportation and designing of a communication mechanism that will balance between keeping the individual as safe as possible and also providing relevant indications. The current paper is divided in two main parts. In the first part, in addition to the study of similar systems, the factors underlying the architectural decisions on which the developed system was built, are debated and analysed. The second part presents the results obtained after a series of preliminary tests carried out with the help of visually impaired people. The application seems promising, being enthusiastically received by those who tested it, because it offers them safety and independence when travelling through the city.",https://doi.org/10.1016/j.procs.2022.09.172,https://www.sciencedirect.com/science/article/pii/S1877050922010547/pdf,cc-by-nc-nd,diamond,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,2,1,9,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X067,B02,20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W3170155921,https://doi.org/10.1145/3453175,Can Chatbots Help Support a Person’s Mental Health? Perceptions and Views from Mental Healthcare Professionals and Experts,2021,Colm Sweeney; Courtney Potts; Edel Ennis; Raymond Bond; Maurice Mulvenna; Siobhan O’Neill; Martin Malcolm; Lauri Kuosmanen; Catrine Kostenius; Alex Vakaloudis; Gavin McConvey; Robin Turkington; David Hanna; Heidi Nieminen; Anna‐Kaisa Vartiainen; Alison Robertson; Michael McTear,article,"The objective of this study was to understand the attitudes of professionals who work in mental health regarding the use of conversational user interfaces, or chatbots, to support people’s mental health and wellbeing. This study involves an online survey to measure the awareness and attitudes of mental healthcare professionals and experts. The findings from this survey show that more than half of the participants in the survey agreed that there are benefits associated with mental healthcare chatbots (65%, p < 0.01). The perceived importance of chatbots was also relatively high (74%, p < 0.01), with more than three-quarters (79%, p < 0.01) of respondents agreeing that mental healthcare chatbots could help their clients better manage their own health, yet chatbots are overwhelmingly perceived as not adequately understanding or displaying human emotion (86%, p < 0.01). Even though the level of personal experience with chatbots among professionals and experts in mental health has been quite low, this study shows that where they have been used, the experience has been mostly satisfactory. This study has found that as years of experience increased, there was a corresponding increase in the belief that healthcare chatbots could help clients better manage their own mental health.",https://doi.org/10.1145/3453175,https://dl.acm.org/doi/pdf/10.1145/3453175,,bronze,3,4,sistema=2;produto-design=1,screening-required,Automação não substitui leitura ontológica.,2,1,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X068,B02,20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W4295955345,https://doi.org/10.1145/3543829.3544516,A Conversational User Interface for Instructional Maintenance Reports,2022,Samuel Kernan Freire; Evangelos Niforatos; Zoltán Rusák; Doris Aschenbrenner; Alessandro Bozzon,conference-paper,"Maintaining a complex system, such as a modern production line, is a knowledge-intensive task. Many firms use maintenance reports as a decision support tool. However, reports are often poor quality and tedious to compile. A Conversational User Interface (CUI) could streamline the reporting process by validating the user’s input, eliciting more valuable information, and reducing the time needed. In this paper, we use a Technology Probe to explore the potential of a CUI to create instructional maintenance reports. We conducted a between-groups study (N = 24) in which participants had to replace the inner tube of a bicycle tire. One group documented the procedure using a CUI while replacing the inner tube, whereas the other group compiled a paper report afterward. The CUI was enacted by a researcher according to a set of rules. Our results indicate that using a CUI for maintenance reports saves a significant amount of time, is no more cognitively demanding than writing a report, and results in maintenance reports of higher quality.",https://doi.org/10.1145/3543829.3544516,https://dl.acm.org/doi/pdf/10.1145/3543829.3544516,,gold,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,2,0,8,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
X069,B02,20260831T003810Z,1.0.0,"""conversational user interface"" design",OpenAlex,https://openalex.org/W2969485337,https://doi.org/10.1007/978-3-030-29516-5_80,Conversational User Interface Integration in Controlling IoT Devices Applied to Smart Agriculture: Analysis of a Chatbot System Design,2019,Eleni Symeonaki; Konstantinos G. Arvanitis; Dimitrios Piromalis; Michail Papoutsidakis,conference-paper,,https://doi.org/10.1007/978-3-030-29516-5_80,,,closed,4,6,titulo-ancora,screening-required,Automação não substitui leitura ontológica.,1,0,7,Pode alcançar o limiar 7/10 após evidência documental e contribuição aplicável.,screening-required
