run_id,query_version,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W4400142383,https://doi.org/10.1145/3643834.3661536,Voice Assistants for Mental Health Services: Designing Dialogues with Homebound Older Adults,2024,Novia Wong; Sooyeon Jeong; Madhu Reddy; Caitlin A. Stamatis; Emily G. Lattie; Maia Jacobs,conference-paper,"The number of older adults who are homebound with depressive symptoms is increasing. Due to their homebound status, they have limited access to trained mental healthcare support, which leaves this support often to untrained family caregivers. To increase access, a growing interest is placed on using technology-mediated solutions, such as voice-assisted intelligent personal assistants (VIPAs), to deliver mental health services to older adults. To better understand how older adults and family caregivers intend to interact with a VIPA for mental health interventions, we conducted a participatory design study during which 6 older adults and 7 caregivers designed VIPA-human dialogues for various scenarios. Using conversation style preferences as a starting point, we present aspects of human-likeness older adults and family caregivers perceived as helpful or uncanny, specifically in the context of the delivery of mental health interventions, which helps inform potential roles VIPAs can play in mental healthcare for older adults.",https://www.ncbi.nlm.nih.gov/pmc/articles/11262314,https://pmc.ncbi.nlm.nih.gov/articles/PMC11262314/pdf/nihms-1992658.pdf,cc-by-nd,green,3,6,sistema=2;relevancia-campo=4,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W3037596752,https://doi.org/10.1145/3392063.3394418,A content analysis of voice-based apps on the market for early literacy development,2020,Ying Xu; Mark Warschauer,conference-paper,"Voice-based applications powered by conversational agents can potentially support young children's literacy development in informal settings. Yet, to realize such potential, designers must consider young users' typical communication and learning patterns. In this paper, we developed a framework of seven design dimensions across three aspects (i.e., learning content and goals, interactions and gamifications, and conversation design) that could influence the educational benefits young children receive from voice-based apps. We then used this framework to conduct a content analysis of 535 literacy-focused voice apps on the market to examine whether the prevalent design features of these apps meet the unique needs of young learners. Lastly, we discussed the implications of current design tendencies with the aim of encouraging future voice-based app designers to bridge the gap between research and practice.",https://doi.org/10.1145/3392063.3394418,https://dl.acm.org/doi/pdf/10.1145/3392063.3394418,,gold,3,6,sistema=2;relevancia-campo=4,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W2108687163,https://doi.org/10.1093/iwc/iwu016,Wizard of Oz Experimentation for Language Technology Applications: Challenges and Tools,2014,Stephan Schlögl; Gavin Doherty; Saturnino Luz,article,"Wizard of OZ (WOZ) is a well-established method for simulating the functionality and user experience of future systems. Using a human wizard to mimic certain operations of a potential system is particularly useful in situations where extensive engineering effort would otherwise be needed to explore the design possibilities offered by such operations. The WOZ method has been widely used in connection with speech and language technologies, but advances in sensor technology and pattern recognition as well as new application areas such as human-robot interaction have made it increasingly relevant to the design of a wider range of interactive systems. In such cases achieving acceptable performance at the user interface level often hinges on resource intensive improvements such as domain tuning, which are better done once the overall design is relatively stable. While WOZ is recognised as a valuable prototyping technique, surprisingly little effort has been put into exploring it from a methodological point of view. Starting from a survey of the literature, this paper presents a systematic investigation and analysis of the design space for WOZ for language technology applications, and proposes a generic architecture for tool support that supports the integration of components for speech recognition and synthesis as well as for machine translation. This architecture is instantiated in WebWOZ - a new web-based open-source WOZ prototyping platform. The viability of generic support is explored empirically through a series of evaluations. Researchers from a variety of backgrounds were able to create experiments, independent of their previous experience with WOZ. The approach was further validated through a number of real experiments, which also helped to identify a number of possibilities for additional support, and flagged potential issues relating to consistency in Wizard performance.",http://arxiv.org/abs/2402.14563,https://arxiv.org/pdf/2402.14563,,green,0,3,sistema=0;relevancia-campo=6,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W3183178847,https://doi.org/10.1016/j.csl.2021.101269,Perceptions and reactions to conversational privacy initiated by a conversational user interface,2021,Birgit Brüggemeier; Philip Lalone,article,"In 2019, media reports raised awareness about privacy and security violations in Conversational User Interfaces (CUI) like Alexa, Siri and Google. Users report that they perceive CUI as creepy and that they are concerned about their privacy. The European General Data Protection Regulation (GDPR) and several other laws across the globe, give users the right to control processing of their data, for example by requesting deletion of their data and it gives them the right to obtain information about their data. Furthermore, GDPR and other laws advise for seamless communication of user rights, which, currently, is poorly implemented in CUI. We used a bespoke data collection interface to generate speaking chatbots and made them available as tasks on the crowd sourcing platform Mechanical Turk. With those chatbots we simulated how privacy can be communicated in a dialogue between user and machine. We find that conversational privacy can affect user perceptions of privacy and security positively. Moreover, user choices suggest that users are interested in obtaining information on their privacy and security in dialogue form. We discuss implications and limitations of this research.",https://doi.org/10.1016/j.csl.2021.101269,https://www.sciencedirect.com/science/article/pii/S0885230821000747/pdf,cc-by,hybrid,4,6,titulo-ancora,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W2007072788,https://doi.org/10.3115/992628.992686,Grice incorporated,1996,Laila Dybkjær; Niels Ole Bernsen; Hans Dybkjær,conference-paper,"The paper presents a consolidated set of principles of cooperative spoken human-machine dialogue which have the potential for being turned into practically applicable design guidelines. The principles have been validated in three ways. They were established from a Wizard of Oz simulation corpus used to develop the dialogue model for a spoken language dialogue system. Developed independently of Gricean theory, some of the principles were refined through comparison with Grice's maxims of cooperativity in conversation. Finally, the principles were tested in the user test of the implemented dialogue system. The paper shows that Grice's maxims constitute a sub-set of the principles. The non-Gricean principles and dialogue aspects they introduce are presented and discussed.",https://doi.org/10.3115/992628.992686,https://dl.acm.org/doi/pdf/10.3115/992628.992686,,gold,3,5,sistema=1;relevancia-campo=2,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W653297214,https://doi.org/10.63317/2feawexe85nz,The DBOX Corpus Collection of Spoken Human-Human and Human-Machine Dialogues,2014,Volha Petukhova; Martin Gropp; Dietrich Klakow; Gregor Eigner; Mario Topf; Stefan Srb; Petr Motlíček; Blaise Potard; John Dines; Olivier Deroo; Ronny Egeler; Uwe Meinz; Steffen Liersch; Anna Grau Schmidt,conference-paper,"The paper describes a project for continuous data collection for a spoken dialogue system engaged in Question-Answering interactions in English.The Wizard-of-Oz method used in the bootstrap phase is presented, and several types of resulting dialogue annotations are described.The resulting corpus will be publicly released.",https://doi.org/10.63317/2feawexe85nz,http://www.lrec-conf.org/proceedings/lrec2014/pdf/169_Paper.pdf,cc-by-nc,gold,3,5,sistema=2;relevancia-campo=2,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W1542364607,,Coaching for teaching and learning: a practical guide for schools,2010,Rachel Lofthouse; David Leat; Carl Towler,other,"Coaching for teaching and learning: a practical guide for schools 1 Welcome to the National College The National College for Leadership of Schools and Children's Services exists to improve the lives of children and young people.Formerly known as the National College for School Leadership (NCSL), our remit was extended in 2009 to include the training and development of Directors of Children's Services.The National College continues to support school leaders with a range of strategic initiatives, leadership development programmes and policy and research activities to enable them to develop into outstanding leaders.Membership of the National College is open and free of charge to all leaders in schools, early years settings and senior leaders in children's services in England.Anyone outside this group is invited to join the National College as an affiliate member.As of May 2010, the College has 74,000 full members and over 11,000 affiliate members.Visit www.nationalcollege.org.uk for further information.Welcome to Newcastle University and the",http://dera.ioe.ac.uk/2086/7/coaching-for-teaching-and-learning_Redacted.pdf,http://dera.ioe.ac.uk/2086/7/coaching-for-teaching-and-learning_Redacted.pdf,,green,0,1,sistema=0;relevancia-campo=1,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W4405869831,https://doi.org/10.56667/dejournal.v5i2.1605,INTEGRATING AI CHATBOT INTO LEARNING MANAGEMENT SYSTEM: ENHANCING STUDENT ENGAGEMENT AND LEARNING OUTCOMES,2024,Saifullah Saifullah; Hendri Yawan; Nining Syafitri; Sitti Nurhaliza,article,"This study investigates the integration of chatbots into Learning Management Systems (LMS) to enhance educational experiences, addressing the challenge of student engagement and support in digital learning environments. Utilizing a Research and Development (R&D) approach, the study systematically developed and implemented a chatbot within the ""Mesikola"" LMS, analyzing data from surveys, interviews, and pilot testing to assess functionality, usability, and learning outcomes. The data revealed high user satisfaction with features such as real-time feedback and multilingual support, with 87% of students reporting improved engagement and 75% experiencing increased self-efficacy. Additionally, 68% of participants demonstrated enhanced academic performance, showing a 15% increase in quiz scores. These findings suggest that well-designed chatbots can significantly contribute to personalized learning and student motivation, providing essential support in educational contexts. The implications of this study underscore the potential for chatbots to transform learning experiences by fostering greater student autonomy and engagement, although further research is needed to refine their effectiveness in collaborative learning environments.",https://doi.org/10.56667/dejournal.v5i2.1605,https://ejournal.undhari.ac.id/index.php/de_journal/article/download/1605/901,cc-by-nc-nd,diamond,3,6,sistema=4;relevancia-campo=3,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W3200910543,https://doi.org/10.1145/3472306.3478352,Agents United,2021,Tessa Beinema; Daniel Davison; Dennis Reidsma; Oresti Baños; Merijn Bruijnes; Brice Donval; Álvaro Fides Valero; Dirk Heylen; Dennis Hofs; Gerwin Harris Huizing; Reshamashree B. Kantharaju; Randy Klaassen; Jan Kolkmeier; Kostas Konsolakis; Alison Pease; Catherine Pélachaud; Donatella Simonetti; Mark Snaith; Vicente Traver; Jorien van Loon; Jacky Visser; Marcel H.H. Weusthof; Fajrian Yunus; Hermie Hermens; Harm op den Akker,conference-paper,The development of applications with intelligent virtual agents (IVA) often comes with integration of multiple complex components. In this article we present the Agents United Platform: an open source platform that researchers and developers can use as a starting point to setup their own multi-IVA applications.,https://doi.org/10.1145/3472306.3478352,https://dl.acm.org/doi/pdf/10.1145/3472306.3478352,,gold,0,0,sistema=0;relevancia-campo=0,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W2783630992,https://doi.org/10.1080/02607476.2018.1422621,Public dialogue with science and development for teachers of STEM: linking public dialogue with pedagogic praxis,2018,Richard Watermeyer; Catherine Montgomery,article,"Despite evidence of quality teaching in Science, Technology, Engineering and Mathematics (STEM) subject domains and insistence on the part of many national governments on the economic value of STEM, education, recruitment and retention into STEM subject fields and occupations is said to be continually blighted by a ‘leaky pipeline’. In the UK context, schools are seen to benefit from a multitude of external STEM engagement and enrichment providers and initiatives. However, despite evidence of the positive impacts of STEM engagement on learners, there exists a dearth of understanding related to how principles of STEM engagement can facilitate STEM teachers in becoming more pedagogically innovative and relevant and, therefore, engaging of their learners in the classroom context. In this article, we employ a secondary data analysis of two prominent cases of public engagement in science and technology (PEST) in the UK to elicit combined lessons for STEM engagement and the pedagogical development of teachers. We consider the successes of science dialogue in establishing principles of best practice that might be transposed to the development of teachers as more able and effective in the engagement of learners in STEM.",https://researchportal.bath.ac.uk/en/publications/aa599b48-fe17-48c6-a6ce-b6bf94943aab,,other-oa,green,0,1,sistema=0;relevancia-campo=1,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W155346165,https://doi.org/10.21437/ecst.1987-120,Using a speech synthesis system for casual conversation a serious application,1987,Norman Aim; Alan F. Newell; John L. Arnott,conference-paper,"We have developed a prototype communication system which helps non-speakers to perform communication acts competently, rather than concentrating on improving the production efficiency for specific letters, words or phrases.The system, called CHAT, is based on patterns which are found in normal unconstrained dialogue.It contains information about the present conversational move, the next likely move, the person being addressed, and the mood of the interaction.The system can move automatically throUgh a dialogue, or can offer the user a selection of conversational moves on the basis of single keystrokes.The increased communication speed which is thus ofrered can significantly improve both the flow of the conversation and the disabled person's control of the dialogue.",https://doi.org/10.21437/ecst.1987-120,https://www.isca-archive.org/ecst_1987/aim87_ecst.pdf,,gold,0,3,sistema=0;relevancia-campo=4,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W2759289620,https://doi.org/10.63317/2j9buozzgyqg,Learning Database Content for Spoken Dialogue System Design,2006,Joseph Polifroni; Marilyn Walker,conference-paper,"Spoken dialogue systems are common interfaces to backend data in information retrieval domains.As more data is made available on the Web and IE technology matures, dialogue systems, whether they be speech-or text-based, will be more in demand to provide user-friendly access to this data.However, dialogue systems must become both easier to configure, as well as more informative than the traditional form-based systems that are currently available.We present techniques in this paper to address the issue of automating both content selection for use in summary responses and in system initiative queries.",https://doi.org/10.63317/2j9buozzgyqg,http://www.lrec-conf.org/proceedings/lrec2006/pdf/301_pdf.pdf,cc-by-nc,gold,3,5,sistema=2;relevancia-campo=2,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
20260907T171423Z,1.2.0,"""dialogue design"" conversational system",OpenAlex,https://openalex.org/W3116407438,https://doi.org/10.18653/v1/2005.sigdial-1.17,Parameters for Quantifying the Interaction with Spoken Dialogue Telephone Services,2005,Sebastian Möller,conference-paper,"When humans interact with spoken dialogue systems, parameters can be logged which quantify the flow of the interaction, the behavior of the user and the system, and the performance of individual system modules during the interaction.Although such parameters are not directly linked to the quality perceived by the user, they provide useful information for system development, optimization, and maintenance.This paper presents a collection of such parameters which are now considered to be recommended by the International Telecommunication Union (ITU-T) for evaluating telephone-based spoken dialogue services.As an initial evaluation, a case study is described which shows that the parameters correlate only weakly with subjective judgments, but that they still may be used for predicting quality with PARADISE-style regression models.",https://doi.org/10.18653/v1/2005.sigdial-1.17,https://aclanthology.org/2005.sigdial-1.17.pdf,cc-by,gold,3,6,sistema=2;relevancia-campo=4,candidato-por-metadados,Descoberta bibliográfica; análise posterior.
